series_name,tweet,sentiment
Hazbin Hotel,Good lord Hazbin Hotel/Helluva Boss fans are so engrained in their garbage series that they even end their sentences with a lackluster swear insult.,Negative
Hazbin Hotel,We're slowly seeing this fandom descend into insanity and i'm all for it,Positive
Hazbin Hotel,"extremely talented singers and song writers that absolutely deserve that recognition, let’s not lie now",Positive
Hazbin Hotel,"""Alastor doesn’t do well on camera!” Charlie caring for Alastor’s preferences immediately always makes me smile.",Positive
Hazbin Hotel,hazbin is probably one of the most larped shows in existence because of how people come as a hive mind to shit on it mindlessly whenever a fan is enjoying it.,Neutral
Hazbin Hotel,It just looks very unfinished to me because I tried to copy the Hazbin hotel style and coloring. But it sucks and I think I could do much better,Negative
Hazbin Hotel,Hazbin Hotel And Helluva Boss Crossing Over Will Always Bring Me Joy,Positive
Hazbin Hotel,Alastor talking through his teeth is one of the coolest and hottest things he does.,Positive
Hazbin Hotel,why is hazbin hotel so afraid of making the characters genuinely morally ambiguous? they barely portray that they're in hell for a reason unless they're literally the villains of the show,Neutral
Hazbin Hotel,Not my fault prime gives more to slop like Hazbin Hotel,Negative
Hazbin Hotel,This is STILL one of the BEST Alastor scenes in the show. I'm obsessed with everything about it fron the line delivery to the head tilt Alastor ATE this UP.,Positive
Hazbin Hotel,Please dont add Jesus to Hazbin hotel. Vivzepop is going to portray him in someway that’s just going to piss me off even more and further prove my point that this show is in fact blasphemous.,Negative
Hazbin Hotel,"Bro I don't like Charlie in Hazbin hotel and I don't whine every episode bc she's the focus and not Angel, what the fuck are people on",Neutral
Hazbin Hotel,I like Vox Hazbin Hotel,Positive
Hazbin Hotel,"the problem is that Steven Universe, Hazbin Hotel, Undertale, and other works have spoiled them into thinking that EVERY villain has to be redeemable.",Neutral
Hazbin Hotel,"Honestly, I would have loved Jesus in Hazbin Hotel, but THANK GOD that didn't happen because everyone agrees that Jesus would have been portrayed in the WORST possible way",Negative
Hazbin Hotel,Ok the music in Hazbin Hotel is actually really good... shit SLAPS,Positive
Hazbin Hotel,Hazbin Hotel will always have originated as a breakout success in the world of indie animation and did a lot to raise awareness and open doors for others in the indie animation sphere.,Positive
Hazbin Hotel,I need another season of Hazbin Hotel to come out ASAP so I can cover the songs again,Positive
Hazbin Hotel,Tadc is just a slightly better Hazbin hotel with no music,Negative
Hazbin Hotel,one of my favourite moments in the pilot,Positive
Hazbin Hotel,I think Hazbin Hotel most of all has opened my eyes to how a lot of media criticism today isn't geared towards giving pointers to a show to improve.,Neutral
Hazbin Hotel,"Don't forget about Hazbin Hotel, whose writing has been said to be awful by many people.",Neutral
Hazbin Hotel,hazbin hotel's finale either shouldn't have had the scene with angel in it towards the end or it should've had a warning,Negative
Hazbin Hotel,"Hazbin Hotel, the only series where I'd rather side with the ""villans"" rather than our ""hero""",Negative
Hazbin Hotel,everyone is vehemently disagreeing with this not because they dislike jesus but because we know that hazbin writers would massacre him worse than the Romans.,Neutral
Hazbin Hotel,"The mocking rape part is obvious, theres like 2 rape jokes every episode in hazbin hotel and a few in helluva boss",Negative
Hazbin Hotel,"Hazbin Hotel is so bad, they introduced a new villain that only appeared for 5 minutes in one episode and never showed up again",Negative
Hazbin Hotel,"if toby fox wasnt bound by the ties of having to be T rated, suzie would speak like a hazbin hotel episode",Neutral
Hazbin Hotel,"Same as Hazbin Hotel: first episode/pilot was pretty good, then uhhhhh stuff happened",Neutral
Hazbin Hotel,I love Hazbin hotel women so much.,Positive
Hazbin Hotel,"Ima js say this rn, hazbin hotel fans are fetishizers for rape",Negative
Hazbin Hotel,Hazbin Hotel doesn't even bother trying to explain its lore to you anymore,Negative
Hazbin Hotel,Alastor I love whatever's wrong with you,Positive
Hazbin Hotel,God his ears are so soft and bouncy it makes me INSANE,Positive
Hazbin Hotel,"We saw a ton of Alastor’s gorgeous, radiant, 10/10, chest in season two. Now lemme see those legs",Positive
Hazbin Hotel,master manipulator 100000 IQ Alastor strikes the Hazbin narrative yet again. When will we all catch onto his deliberately complex trickery!,Positive
Hazbin Hotel,We can't use what happens in the real world to decide what hazbin characters were doing.,Neutral
Hazbin Hotel,"Everytime Charlie ""helps"" Angel she's unintentionally slut shamin and victim blamin him.",Negative
Hazbin Hotel,Charlie from Hazbin Hotel is bi which means I have a chance,Positive
Hazbin Hotel,I like Hazbin Hotel but I 100% believe that Charlie would side with Omni-Man,Positive
Hazbin Hotel,"i like hazbin, but I would not wanna be in the same room as a high charlie that shit would get annoying",Neutral
Hazbin Hotel,everytime charlie (hazbin hotel) swears. it scratches the right side of my brain im ngl,Positive
Hazbin Hotel,You know if they kept Pilot Vaggie in the official Hazbin series she would NOT take shit from the show’s version of Charlie at all,Positive
Hazbin Hotel,"I miss pilot Vaggie so much. She was still protective of Charlie, but she felt like a normal supportive partner and person",Positive
Hazbin Hotel,No it's fucking ass. They made Dante a fraud in his own show and made Lady a Hazbin Hotel/Helluva Boss character. That's already 2 strikes out of a plethora more,Negative
Hazbin Hotel,she invited Vox and Velvette into her hotel and IGNORED how uncomfortable it made Angel. She wouldn’t listen to anyone.,Negative
Hazbin Hotel,idc if u hate vox cause fair but charlie haters actually pmo lol,Neutral
Hazbin Hotel,"I feel like this show focuses on the Sinners like Husk, Cherri, and Angel finding redemption on their own.",Neutral
Hazbin Hotel,"The reason Charlie as a character falls flat, the main encompassing reason, is that the show doesn’t give a shit about her.",Negative
Hazbin Hotel,Idk how to say this but the Hazbin fandom treat Lucifer like he’s main character and not Charlie,Neutral
Hazbin Hotel,Charlie Morningstar did not support Vox trying to overthrow heaven.,Positive
Hazbin Hotel,"If Charlie is the best character in Hazbin Hotel, you might as well throw that series in the trash already",Negative
Hazbin Hotel,Vox was butt buddies with a rapist,Negative
Hazbin Hotel,gonna use my stranger things account to defend angel dust from hazbin hotel because a lot of the hate towards him is in genuine bad faith and just generally odd,Positive
Hazbin Hotel,The VVVs see Angel's abuse as a joke. That does NOT mean the makers of the show also do.,Neutral
Hazbin Hotel,"She is a Hazbin fan, she likes Angel, The Speaker and Valentino",Positive
Hazbin Hotel,"They are such hypocrites, seriously",Negative
Hazbin Hotel,Angel truly deserves a chance at redemption,Positive
Hazbin Hotel,I dont hate Hazbin. I just don't like the bad writing choices made.,Neutral
Hazbin Hotel,Vaggi is someone who will always be loyal to the Hotel's cause and will defend it with everything she has got,Positive
Hazbin Hotel,angel should’ve been asked back for a second season ngl,Positive
Hazbin Hotel,"I NEED THE SEASON THREE OF HAZBIN,I NEED TO SEE ANGEL HAPPY",Positive
Hazbin Hotel,Adam is by far the most expressive character in Hazbin,Positive
Hazbin Hotel,as a Hazbin fan this is true we need more diversity in body types that isn’t just height or sometimes chest size,Neutral
Hazbin Hotel,"Niffty lowkey thick, I ain't even gonna lie to ya'll...",Positive
Hazbin Hotel,it's crazy how some people will sell the Hazbin cards for hundreds of dollars and still call themselves fans,Neutral
Hazbin Hotel,the main problem is that you don't seem to understand that Hazbin and Helluva look like they don't know what they want to be,Negative
Hazbin Hotel,Facebook is the most toxic community for Hazbin shippers so far.,Negative
Hazbin Hotel,Wdym ppl hate angel dusts character bc “he’s a glorification of abuse” uhhh did we watch the same series?,Neutral
Hazbin Hotel,i love vox HIS DESIGN IS ALSO SO COOL I LOVE THE COLOURS HOW COULD YOU NOT LOVE THIS TV,Positive
Hazbin Hotel,i fucking love watching hazbin,Positive
Hazbin Hotel,"Hell seems like a pretty sweet deal in this universe, I die and get to just do whatever I want and no one can stop me that’s sick",Positive
Hazbin Hotel,"the amount of edits of redeemed villains I've seen with ""I believe anyone can be redeemed"" quote is crazy...",Neutral
